Artist,City,Venue,Capacity,Ticket Sale Estimation,Average Ticket Price,Production Cost Estimation,Total Attendees,Season,Genre,Supporting Artists,Popularity,ROI (%),Spotify Streams (North America),Spotify Streams (Europe),Spotify Streams (Asia),Spotify Streams (South America),Spotify Streams (Africa),Spotify Streams (Oceania)
A$AP Rocky,New York,Barclays Center,19000,18500,140,1000000,18500,Summer,Hip-Hop/Rap,"Tyler, The Creator, Playboi Carti",92,38,35000000,25000000,20000000,15000000,7000000,6000000
A$AP Rocky,Los Angeles,The Forum,17500,17000,150,1100000,17000,Fall,Hip-Hop/Rap,"Schoolboy Q, Vince Staples",91,36,34000000,24000000,19000000,14500000,6800000,5800000
A$AP Rocky,Paris,Accor Arena,20000,19500,130,950000,19500,Winter,Hip-Hop/Rap,"Skepta, Ferg",90,35,33000000,23000000,18000000,14000000,6500000,5500000
A$AP Rocky,London,O2 Academy Brixton,4900,4800,120,600000,4800,Spring,Hip-Hop/Rap,"Central Cee, Knucks",89,33,32000000,22000000,17000000,13000000,6200000,5200000
A$AP Rocky,Houston,713 Music Hall,5000,4900,110,450000,4900,Summer,Hip-Hop/Rap,"Don Toliver, Maxo Kream",87,30,31000000,21000000,16000000,12000000,6000000,5000000
A$AP Rocky,Chicago,Aragon Ballroom,5000,4800,115,500000,4800,Fall,Hip-Hop/Rap,"Lil Durk, G Herbo",88,31,31500000,21500000,16500000,12500000,6300000,5300000
A$AP Rocky,Miami,James L. Knight Center,4500,4400,125,550000,4400,Winter,Hip-Hop/Rap,"Rick Ross, DJ Khaled",86,29,30000000,20000000,15000000,11000000,5800000,4800000
A$AP Rocky,Toronto,Rebel,2500,2400,135,400000,2400,Spring,Hip-Hop/Rap,"Pressa, Smiley",85,27,29000000,19000000,14000000,10000000,5500000,4500000
A$AP Rocky,Berlin,Columbiahalle,3500,3400,120,420000,3400,Summer,Hip-Hop/Rap,"Luciano, RAF Camora",84,26,28000000,18000000,13000000,9000000,5000000,4000000
A$AP Rocky,Amsterdam,AFAS Live,6000,5900,115,500000,5900,Fall,Hip-Hop/Rap,"Frenna, Lil Kleine",83,25,27000000,17000000,12000000,8000000,4500000,3500000
A$AP Rocky,Stockholm,Annexet,3000,2900,140,350000,2900,Winter,Hip-Hop/Rap,"Yasin, Dree Low",82,24,26000000,16000000,11000000,7000000,4000000,3000000
A$AP Rocky,Copenhagen,Vega,1500,1450,145,300000,1450,Spring,Hip-Hop/Rap,"Gilli, KESI",81,23,25000000,15000000,10000000,6000000,3500000,2500000
A$AP Rocky,Tokyo,Zepp DiverCity,2700,2600,160,450000,2600,Summer,Hip-Hop/Rap,"KOHH, JP THE WAVY",90,40,36000000,26000000,21000000,16000000,7500000,6500000
A$AP Rocky,Seoul,Yes24 Live Hall,1500,1450,155,350000,1450,Fall,Hip-Hop/Rap,"Jay Park, pH-1",88,37,34000000,24000000,19000000,14000000,7000000,6000000
A$AP Rocky,Sydney,Hordern Pavilion,5000,4900,130,550000,4900,Winter,Hip-Hop/Rap,"The Kid LAROI, Hooligan Hefs",86,34,32000000,22000000,17000000,12000000,6500000,5500000
