id,external_id,name,category,subcategory,article_type,gender,base_color,season,usage,image_url,tags,price_range,style_score,brand,price,year
1,1,H&M Jeans 1,Bottomwear,Jeans,Jeans,Unisex,Grey,Summer,Casual,https://images.pexels.com/photos/1000000/pexels-photo-1000000.jpeg?auto=compress&cs=tinysrgb&w=400,"['neutral', 'grey', 'bottomwear', 'casual', 'jeans', 'summer']",high,0.95,H&M,162.3795135021972,2024
2,2,Zara Heels 2,Footwear,Heels,Heels,Unisex,Blue,All,Work,https://images.pexels.com/photos/1000001/pexels-photo-1000001.jpeg?auto=compress&cs=tinysrgb&w=400,"['blue', 'cool', 'work', 'footwear', 'all', 'heels']",mid,1.0,Zara,80.49913592839316,2020
3,3,Nike Nightgowns 3,Loungewear,Nightgowns,Nightgowns,Unisex,Navy,Fall,Work,https://images.pexels.com/photos/1000002/pexels-photo-1000002.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'blue', 'fall', 'navy', 'work', 'loungewear', 'nightgowns']",mid,0.94,Nike,134.53811795740853,2022
4,4,Adidas Culottes 4,Bottomwear,Culottes,Culottes,Women,Brown,All,Work,https://images.pexels.com/photos/1000003/pexels-photo-1000003.jpeg?auto=compress&cs=tinysrgb&w=400,"['bottomwear', 'brown', 'all', 'work', 'culottes']",mid,0.91,Adidas,138.25647350812136,2024
5,5,Uniqlo Formal Dress 5,Dress,Formal Dress,Formal Dress,Men,Navy,Fall,Work,https://images.pexels.com/photos/1000004/pexels-photo-1000004.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'blue', 'formal dress', 'fall', 'navy', 'work', 'dress']",mid,0.84,Uniqlo,65.34530038711344,2023
6,6,Forever 21 Sunglasses 6,Accessories,Sunglasses,Sunglasses,Men,Purple,Fall,Casual,https://images.pexels.com/photos/1000005/pexels-photo-1000005.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'purple', 'sunglasses', 'fall', 'casual', 'cool']",high,0.64,Forever 21,158.93034373593994,2023
7,7,Mango Maxi Dress 7,Dress,Maxi Dress,Maxi Dress,Unisex,Red,All,Sports,https://images.pexels.com/photos/1000006/pexels-photo-1000006.jpeg?auto=compress&cs=tinysrgb&w=400,"['bright', 'warm', 'red', 'all', 'maxi dress', 'dress', 'sports']",high,0.51,Mango,157.7871763634276,2024
8,8,Levi's Bras 8,Innerwear,Bras,Bras,Unisex,Orange,Spring,Casual,https://images.pexels.com/photos/1000007/pexels-photo-1000007.jpeg?auto=compress&cs=tinysrgb&w=400,"['innerwear', 'casual', 'orange', 'bras', 'spring']",mid,0.73,Levi's,77.31953457228931,2021
9,9,Gap Lounge Sets 9,Loungewear,Lounge Sets,Lounge Sets,Women,Beige,Spring,Travel,https://images.pexels.com/photos/1000008/pexels-photo-1000008.jpeg?auto=compress&cs=tinysrgb&w=400,"['travel', 'lounge sets', 'beige', 'loungewear', 'spring']",high,0.66,Gap,181.9377279675936,2024
10,10,Tommy Hilfiger Mini Dress 10,Dress,Mini Dress,Mini Dress,Men,Brown,Winter,Casual,https://images.pexels.com/photos/1000009/pexels-photo-1000009.jpeg?auto=compress&cs=tinysrgb&w=400,"['casual', 'brown', 'dress', 'winter', 'mini dress']",low,0.71,Tommy Hilfiger,36.78541713944074,2022
11,11,Calvin Klein Casual Dress 11,Dress,Casual Dress,Casual Dress,Unisex,Beige,Fall,Casual,https://images.pexels.com/photos/1000010/pexels-photo-1000010.jpeg?auto=compress&cs=tinysrgb&w=400,"['fall', 'casual', 'casual dress', 'dress', 'beige']",high,0.64,Calvin Klein,168.1313416908414,2021
12,12,Puma Maxi Dress 12,Dress,Maxi Dress,Maxi Dress,Women,Navy,Spring,Party,https://images.pexels.com/photos/1000011/pexels-photo-1000011.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'blue', 'navy', 'maxi dress', 'dress', 'party', 'spring']",high,0.64,Puma,158.8892861266856,2022
13,13,H&M Briefs 13,Innerwear,Briefs,Briefs,Men,Yellow,Winter,Sports,https://images.pexels.com/photos/1000012/pexels-photo-1000012.jpeg?auto=compress&cs=tinysrgb&w=400,"['innerwear', 'yellow', 'briefs', 'winter', 'sports']",mid,0.61,H&M,138.8523162778149,2024
14,14,Zara Heels 14,Footwear,Heels,Heels,Men,Blue,Spring,Ethnic,https://images.pexels.com/photos/1000013/pexels-photo-1000013.jpeg?auto=compress&cs=tinysrgb&w=400,"['blue', 'cool', 'heels', 'footwear', 'spring', 'ethnic']",mid,0.82,Zara,114.49771457857658,2020
15,15,Nike Bras 15,Innerwear,Bras,Bras,Men,Orange,All,Work,https://images.pexels.com/photos/1000014/pexels-photo-1000014.jpeg?auto=compress&cs=tinysrgb&w=400,"['innerwear', 'orange', 'all', 'work', 'bras']",high,0.94,Nike,161.45419876290336,2023
16,16,Adidas Boots 16,Footwear,Boots,Boots,Women,Black,Spring,Ethnic,https://images.pexels.com/photos/1000015/pexels-photo-1000015.jpeg?auto=compress&cs=tinysrgb&w=400,"['dark', 'neutral', 'boots', 'black', 'footwear', 'spring', 'ethnic']",mid,0.73,Adidas,105.68928634668775,2020
17,17,Uniqlo Tank Tops 17,Topwear,Tank Tops,Tank Tops,Women,Pink,Summer,Party,https://images.pexels.com/photos/1000016/pexels-photo-1000016.jpeg?auto=compress&cs=tinysrgb&w=400,"['feminine', 'pink', 'topwear', 'warm', 'party', 'summer', 'tank tops']",high,0.82,Uniqlo,196.96858112920225,2021
18,18,Forever 21 Tank Tops 18,Topwear,Tank Tops,Tank Tops,Unisex,Teal,Summer,Work,https://images.pexels.com/photos/1000017/pexels-photo-1000017.jpeg?auto=compress&cs=tinysrgb&w=400,"['teal', 'topwear', 'work', 'summer', 'tank tops']",high,0.73,Forever 21,174.78923864643363,2023
19,19,Mango A-Line Dress 19,Dress,A-Line Dress,A-Line Dress,Men,Pink,Spring,Ethnic,https://images.pexels.com/photos/1000018/pexels-photo-1000018.jpeg?auto=compress&cs=tinysrgb&w=400,"['a-line dress', 'feminine', 'pink', 'warm', 'dress', 'spring', 'ethnic']",mid,0.59,Mango,62.07776318462727,2024
20,20,Levi's Jewelry 20,Accessories,Jewelry,Jewelry,Unisex,Brown,Summer,Formal,https://images.pexels.com/photos/1000019/pexels-photo-1000019.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'formal', 'jewelry', 'brown', 'summer']",mid,0.69,Levi's,115.32626223718886,2024
21,21,Gap Scarves 21,Accessories,Scarves,Scarves,Women,Orange,Summer,Formal,https://images.pexels.com/photos/1000020/pexels-photo-1000020.jpeg?auto=compress&cs=tinysrgb&w=400,"['accessories', 'formal', 'orange', 'scarves', 'summer']",high,0.77,Gap,151.3920844043666,2021
22,22,Tommy Hilfiger Lounge Sets 22,Loungewear,Lounge Sets,Lounge Sets,Men,Pink,All,Formal,https://images.pexels.com/photos/1000021/pexels-photo-1000021.jpeg?auto=compress&cs=tinysrgb&w=400,"['formal', 'feminine', 'pink', 'warm', 'all', 'lounge sets', 'loungewear']",low,0.66,Tommy Hilfiger,35.85517405951941,2024
23,23,Calvin Klein Robes 23,Loungewear,Robes,Robes,Men,Grey,All,Sports,https://images.pexels.com/photos/1000022/pexels-photo-1000022.jpeg?auto=compress&cs=tinysrgb&w=400,"['neutral', 'grey', 'robes', 'all', 'sports', 'loungewear']",mid,0.54,Calvin Klein,116.46370045783513,2021
